Seller_Name,Retailer_Code,Retailer_Name,Latitude,Longitude,Visit Frequency,Service Time
Seller_1,431TCRBC02606,12229 - P.Chandrashekar,12.8424,77.5867,2,20
Seller_1,431TCRBB03663,12868 - L.Ravindra,12.8428,77.7274,1,20
Seller_1,431TCRCC03711,41510 - Swathi Enterprises,12.8429,77.6154,1,20
Seller_1,431TCRCC03694,40833 - A.Bhaskaran,12.8431,77.6441,8,20
Seller_1,431TCRCC03687,40597 - S.Lakshmana Gowda,12.8463,77.5893,1,20
Seller_1,431TCRBB03655,12643 - B.K.Manchegowda,12.8503,77.6562,1,20
Seller_1,431TCOPR01499,1109 - T.R.Nagaraj R.R. Bar,12.8539,77.5886,1,20
Seller_1,431TCRAA03646,12086 - G.N.Devaraj,12.8576,77.5890,8,20
Seller_1,431TCRAA02785,41475 - Muralidhara,12.8590,77.5924,2,20
Seller_1,431TCRAA02796,40988 - Suraj Kumar Kallya,12.8592,77.5924,8,20
Seller_1,431TCRKA61322,10152 - The Zuri Hospitality Pvt Ltd,12.8594,77.5966,4,20
Seller_1,431TCRKA61304,40746 - Lemon Tree HotelsCelsia Hotels P Ltd,12.8596,77.5961,4,20
Seller_1,431TCRCC03720,990 - D R Venkataraju Pooja Wines,12.8603,77.7914,2,20
Seller_1,431TCOPR01498,1072 - L.C.Dananjaya Prasanna Bar,12.8611,77.6033,2,20
Seller_1,431TCOPR01561,5955 - B. Krishnappa,12.8611,77.6033,1,20
Seller_1,431TCOPR01551,1160 - M. Srinivas Chandramohan Bar,12.8613,77.6035,2,20
Seller_1,431TCOPR01501,1180 - Secretary Metropolitan Club,12.8613,77.6035,1,20
Seller_1,431TCRBC02609,841 - V.Balakrishna Karthik Wines,12.8615,77.5636,1,20
Seller_1,431TCOPR01514,12738 - K.Jayamma,12.8652,77.6551,1,20
Seller_1,431TCRBB02611,12123 - Sri. A.H. Shivakantha,12.8656,77.5805,1,20
Seller_1,431TCRAA03651,12448 - Smt.Girija,12.8670,77.5979,8,20
Seller_1,431TCRPR62197,13987 - Satish H,12.8671,77.5353,1,20
Seller_1,431TCRCC03708,41424 - Manjunath M.G.,12.8697,77.6532,1,20
Seller_1,431TCRCC00667,1067 - S.Manu M.R.Wines,12.8706,77.6554,1,20
Seller_1,431TCRCC00664,40372 - Gayathri,12.8709,77.6599,8,20
Seller_1,431TCOPR01819,603 - N.Srinivas,12.8713,74.8423,1,20
Seller_1,431TCRPR62237,2097 - V.Nanjappa Ramakrishna Bar,12.8721,77.4481,2,20
Seller_1,431TCRAA02608,41006 - B V Lakshmi,12.8721,77.5397,1,20
Seller_1,431TCRPR62229,2031 - Gangamma,12.8724,77.4399,2,20
Seller_1,431TCRPR62256,3368 - Managing Partner,12.8724,77.4399,1,20
Seller_1,431TCRPR62281,13272 - Kiran.Y,12.8724,77.4399,1,20
Seller_1,431TCRKA60961,859 - Bindra Resorts Pvt Ltd,12.8725,77.6419,4,20
Seller_1,431TCRCC00668,41101 - Sri Manjunatha Enterprises,12.8740,77.6551,8,20
Seller_1,431TCOPR01558,914 - A. Shivanna Trupthi Bar,12.8758,77.6485,8,20
Seller_1,431TCRPR62225,1969 - C.Prasanna,12.8761,77.5326,2,20
Seller_1,431TCRKA61319,40609 - Bistro Hospitality Pvt Ltd,12.8761,77.5951,4,20
Seller_1,431TCOPR01564,10327 - Nayak Hospitality Services Pvt Ltd,12.8762,77.6160,4,20
Seller_1,431TCRCC03680,40212 - K.C.Puttaswamy Gowda,12.8762,77.6162,8,20
Seller_1,431TCRAB02612,40812 - N.Girish,12.8763,77.5840,8,20
Seller_1,431TCRCC03689,40690 - N.Satisha,12.8763,77.6395,8,20
Seller_1,431TCRCC03707,41312 - R.R.Spirit (MMD Enterprises),12.8764,77.5964,8,20
Seller_1,431TCOPR01504,12067 - Sri.H.P.Channalingegowda,12.8764,77.6093,4,20
Seller_1,431TCOPR01519,3282 - K Rajanna,12.8767,77.5951,8,20
Seller_1,431TCRBB03673,3471 - Smt.G.Vedhavathi,12.8805,77.6246,1,20
Seller_1,431TCRBB02621,41071 - M.D.Kantharaju,12.8806,77.5671,1,20
Seller_1,431TCOPR01539,747 - R. Vijayalaxmi A.V. Bar,12.8808,77.5994,1,20
Seller_1,431TCRBB03668,12960 - Smt.Rekha Cum K.M.Subramanyam,12.8818,77.6099,1,20
Seller_1,431TCRBC02613,3555 - G.K.Obaiah Royal Wine Zone,12.8827,77.5833,1,20
Seller_1,431TCRAA03642,1192 - T.Dayananda,12.8833,77.6078,8,20
Seller_1,431TCRAA02610,41581 - K.Kumar,12.8836,77.5497,1,20
Seller_1,431TCRBB03659,12676 - Mr.D.N.Lokesh,12.8842,77.7496,8,20
Seller_1,431TCRBB02622,40877 - G M Rathnamma,12.8850,77.5670,1,20
Seller_1,431TCRAA03650,12445 - Sri.M.Mohan Shet,12.8852,77.6184,1,20
Seller_1,431TCRPR62143,775 - Sadashiva.S.Heggde Savi Bar,12.8854,77.5553,1,20
Seller_1,431TCRCC03696,40900 - Arogya Swamy,12.8855,77.6252,1,20
Seller_1,431TCRPR62282,13381 - M.C.Sateesh,12.8858,77.5394,2,20
Seller_1,431TCOPR01536,41165 - Guru Enterprises,12.8858,77.6022,8,20
Seller_1,431TCRKA61307,13425 - Metro Cash & Carry India Pvt. Ltd,12.8860,77.5682,1,20
Seller_1,431TCRKA61277,10685 - Cessna Garden Developers Pvt Ltd,12.8860,77.5683,4,20
Seller_1,431TCRKA61287,41538 - PVR Bluo Entertainment Ltd,12.8860,77.5685,4,20
Seller_1,431TCRKA61278,12641 - Director,12.8861,77.5681,8,20
Seller_1,431TCRKA61296,40081 - Director J.P.Celestial,12.8862,77.5681,1,20
Seller_1,431TCRKA61282,11225 - V. Madhusudhan,12.8864,77.5683,1,20
Seller_1,431TCRKA61284,13510 - Anoop Kumar,12.8864,77.5683,1,20
Seller_1,431TCRAA03647,12136 - Managing PartnerM/S.Vinayaka Enterprises,12.8865,77.7425,8,20
Seller_1,431TCRBB00627,765 - S.Ramaprasad Reddy Vinayaka Wines,12.8867,77.6400,1,20
Seller_1,431TCRBB00628,930 - Shivalingegowda,12.8867,77.6400,1,20
Seller_1,431TCRAA02614,11538 - Lakshmi Enterprises,12.8869,77.5814,8,20
Seller_1,431TCOPR01500,1172 - Brunda Brundavan Bar,12.8869,77.6412,1,20
Seller_1,431TCRBB00629,3516 - K M. Anand,12.8876,77.6373,1,20
Seller_1,431TCRCC03698,41010 - M.Savitha,12.8879,77.6105,8,20
Seller_1,431TCRKA61312,3236 - Sri R.Srinivasan,12.8881,77.5812,1,20
Seller_1,431TCRAA03640,11586 - Madhuri M.G,12.8891,77.6397,8,20
Seller_1,431TCRKA61315,13248 - K.Mahesh,12.8900,77.5821,1,20
Seller_1,431TCRAA02605,40805 - K.S.Lokesh,12.8901,77.5977,4,20
Seller_1,431TCOPR01544,986 - Chamundeshwari Madhumohan Bar,12.8904,77.5981,1,20
Seller_1,431TCRPR62367,10461 - Rajeshwari K.A.,12.8905,77.5639,1,20
Seller_1,431TCRPR62374,13972 - B Raghavendra,12.8905,77.5639,8,20
Seller_1,431TCRAA02778,40387 - K.A. Radhamma,12.8908,77.5621,2,20
Seller_2,431TCOPR01556,741 - T. Dayananda Shruti Bar,12.8908,77.6112,1,20
Seller_2,431TCOPR01512,12710 - Sri.K.Rajanna,12.8923,77.6118,8,20
Seller_2,431TCRBA65000,11430 - S. Venkatesh,12.8923,77.6497,1,20
Seller_2,431TCRCC00656,41002 - Managing Director : Msil,12.8923,77.6497,2,20
Seller_2,431TCRCC00666,40724 - Asha Rani W/O C.Ramesh Reddy,12.8925,77.6570,1,20
Seller_2,431TCRBB02628,40677 - D.Devaraju,12.8929,77.5720,2,20
Seller_2,431TCRCC03683,40342 - B.Satyanaryana,12.8931,77.6740,2,20
Seller_2,431TCRKA60924,709 - M/S Metro Cash & Carry India Pvt Ltd,12.8932,77.5671,1,20
Seller_2,431TCRAA03637,11330 - K.Manjunath,12.8934,77.6259,8,20
Seller_2,431TCRAA02631,12455 - Managing Director,12.8944,77.5687,1,20
Seller_2,431TCRBB03671,3440 - B.Krishnappa,12.8944,77.6292,1,20
Seller_2,431TCRAA03648,12138 - Smt. T. G Latha,12.8945,77.6269,1,20
Seller_2,431TCOPR01701,41157 - Averina International Resorts Pvt Ltd,12.8949,77.6439,4,20
Seller_2,431TCOPR01572,11221 - Venkateshwara Enterprises,12.8956,77.6088,8,20
Seller_2,431TCOPR01540,873 - V.Ramamurthy Swapna Bar,12.8956,77.6088,4,20
Seller_2,431TCOPR01523,3336 - C Babureddy,12.8956,77.6088,8,20
Seller_2,431TCOPR01524,3415 - C.Nagabhushan,12.8956,77.6088,8,20
Seller_2,431TCOPR01525,3423 - Papaiah Reddy,12.8956,77.6088,8,20
Seller_2,431TCOPR01569,10344 - Prasad Shetty,12.8956,77.6088,4,20
Seller_2,431TCOPR01507,12290 - Sri.C.Nagabhushan,12.8956,77.6088,2,20
Seller_2,431TCOPR01528,40550 - Kumaon Entertainment & Hospitality Pvt.Ltd,12.8956,77.6088,4,20
Seller_2,431TCOPR01531,40989 - T.R.Ramachandrappa,12.8956,77.6088,1,20
Seller_2,431TCOPR01535,41149 - Rajeshwari.S,12.8956,77.6088,8,20
Seller_2,431TCRPR62146,848 - V.Nagaraj Manjunatha Bar,12.8969,77.5712,1,20
Seller_2,431TCRAA03632,11006 - H.N.Meenakshi,12.8969,77.6262,8,20
Seller_2,431TCRPR62376,40471 - V. Madhusudhan,12.8972,77.5711,2,20
Seller_2,431TCRPR62142,774 - N.Muniram Sudha Bar,12.8977,77.5718,1,20
Seller_2,431TCRAA02624,41317 - B.Narayanaswamy,12.8977,77.5856,8,20
Seller_2,431TCOPR01503,1190 - V.Somashekar Reddy,12.8990,77.6266,8,20
Seller_2,431TCRCC00672,12177 - Managing Partner,12.8990,77.6510,1,20
Seller_2,431TCOPR01537,41267 - M.Manjunath,12.8991,77.6266,2,20
Seller_2,431TCOPR01502,1182 - Chamundeshwari Mohan Paradise Bar,12.9006,77.6011,1,20
Seller_2,431TCOPR01515,12774 - Sri.B.V.Sridhar,12.9011,77.6012,2,20
Seller_2,431TCRPR62231,2083 - A.Nagaraj Bhavani Bar,12.9024,77.5445,2,20
Seller_2,431TCRBB02640,40424 - Managing DirectorMsil,12.9026,77.5613,1,20
Seller_2,431TCRBB02774,40675 - Chikkammayya,12.9028,77.5228,1,20
Seller_2,431TCRPR62266,10188 - G.Dayananda,12.9031,77.5213,2,20
Seller_2,431TCRAA03649,12277 - T.R. Nagaraj,12.9033,77.6018,1,20
Seller_2,431TCRPR62294,41268 - Smt.T.N.Varalakshmi,12.9035,77.5224,2,20
Seller_2,431TCRCC00654,12175 - Smt.V.Lakshmamma,12.9039,77.6488,8,20
Seller_2,431TCRCC00660,9865 - H.C.Thammanna,12.9040,77.6487,8,20
Seller_2,431TCRPR62241,2104 - B N Bhagya Lakshmi,12.9043,77.5519,1,20
Seller_2,431TCRPR62315,3531 - Hemanth B.Herald Bar & Restaurant,12.9044,77.5625,8,20
Seller_2,431TCRBB02630,997 - H.M.Leelavathi Baba Wines,12.9044,77.5803,1,20
Seller_2,431TCOPR01563,10277 - N.M.Thirthegowda,12.9045,77.6307,1,20
Seller_2,431TCRCC00657,41504 - R.Dhanalakshmi,12.9050,77.6436,8,20
Seller_2,431TCOPR01538,41331 - B.R.Yogisha,12.9053,77.6104,8,20
Seller_2,431TCOPR01527,40226 - J.P.Sudhakar,12.9053,77.6293,8,20
Seller_2,431TCOPR01565,10390 - P.Lakshmi,12.9053,77.6294,2,20
Seller_2,431TCOPR01574,11421 - Ekram Hotel Pvt Ltd,12.9053,77.6294,1,20
Seller_2,431TCOPR01534,41135 - Smt.M.P.Reshma,12.9053,77.6294,2,20
Seller_2,431TCRAA02623,3264 - Smt Saroja Sanjeev,12.9054,77.5857,8,20
Seller_2,431TCRCC03714,696 - Jayalakshmi.A,12.9056,77.6059,8,20
Seller_2,431TCRPR62370,12262 - D.R.Murali Krishna,12.9057,77.5629,1,20
Seller_2,431TCRPR62330,13480 - Managing Director S.V.G Exports Pvt Ltd,12.9057,77.5629,1,20
Seller_2,431TCRPR62346,41261 - C.T.Venkatappa,12.9057,77.5629,2,20
Seller_2,431TCRPR62296,619 - Leelavathi,12.9058,77.5629,2,20
Seller_2,431TCRKA61291,13534 - R R Santhosh Sriram,12.9060,77.5857,4,20
Seller_2,431TCRKA61280,12341 - M/S.Barbeque-Nation Hospitality,12.9062,77.5968,1,20
Seller_2,431TCRKA60952,13826 - H Dasappa And Sons,12.9064,77.5913,4,20
Seller_2,431TCRKA61286,10538 - Rezzak Hotels Pvt. Ltd,12.9066,77.5896,4,20
Seller_2,431TCRAB02647,10349 - N. Pavithra,12.9067,77.5449,8,20
Seller_2,431TCRBB02627,777 - T.Kumar Ananda Wines,12.9068,77.5949,1,20
Seller_2,431TCRKA61281,41214 - Barbeque Nation Hospitality Ltd,12.9069,77.5897,1,20
Seller_2,431TCRCC00674,933 - R.Venkatesh Manjunatha Wines,12.9069,77.6962,1,20
Seller_2,431TCRPR63942,1140 - B.Saraswathi Greenpark Bar,12.9070,77.6964,8,20
Seller_2,431TCRCC00662,10455 - R.Lakshmipathi,12.9071,77.6345,8,20
Seller_2,431TCOPR01684,3165 - N Amaresh Reddy,12.9072,77.6356,8,20
Seller_2,431TCRCC00670,12169 - Sri.Manigandon,12.9074,77.6757,1,20
Seller_2,431TCRKA60951,3219 - Brigade Hospitatality Service Pvt Ltd,12.9076,77.6010,1,20
Seller_2,431TCRCC03700,41066 - Papaiah Reddy,12.9076,77.6283,1,20
Seller_2,431TCRPR63961,41248 - Smt.V.Shashikala,12.9077,77.6943,2,20
Seller_2,431TCRAA02781,12350 - N.Girish,12.9081,77.5397,8,20
Seller_2,431TCRPR62291,41070 - V. Basavarajaiah,12.9082,77.4801,2,20
Seller_2,431TCRKA61324,13923 - R Jayarathna,12.9082,77.5903,4,20
Seller_2,431TCRBB02777,12324 - Smt. H.N Girija,12.9085,77.5386,1,20
Seller_2,431TCRBB03656,12644 - Mahalakshmi,12.9087,77.5569,1,20
Seller_2,431TCRAA03636,11230 - S. Janardhan,12.9087,77.5570,1,20
Seller_2,431TCRBB03667,12906 - Managing DirectorMsil,12.9087,77.5570,2,20
Seller_2,431TCRBB03678,40146 - N.Krishna,12.9087,77.5570,1,20
Seller_2,431TCRCC03679,40208 - T.Yuvaraj,12.9087,77.5570,1,20
Seller_2,431TCRKA61302,9795 - J.P.Nagar Cultural Association,12.9089,77.5917,1,20
Seller_2,431TCRAA02641,10255 - H.R.Kumar,12.9092,77.5630,8,20
Seller_2,431TCRBB02773,40153 - Suzy Gomez,12.9095,77.5211,1,20
Seller_2,431TCRAA02775,41110 - M.Mohan Shet,12.9096,77.5212,1,20
Seller_2,431TCRPR62235,2093 - S.Renuka Gururenuka Bar,12.9098,77.4810,1,20
Seller_2,431TCRAA02618,9999 - D.Natarajan,12.9103,77.5913,8,20
Seller_2,431TCRPR63963,10332 - Honnagirigowda,12.9108,77.6848,4,20
Seller_2,431TCOPR01506,12156 - Sri.R.Rajkumar,12.9111,77.5999,8,20
Seller_2,431TCOPR01543,968 - B.Gopalkrishna Nanjundeshwara Bar,12.9112,77.6000,1,20
Seller_2,431TCRPR62240,2103 - N.Sadashivarao,12.9116,77.4847,1,20
Seller_2,431TCRAA02646,3486 - Sri. C. Raju Wine World,12.9116,77.5526,8,20
Seller_2,431TCRCC00673,10231 - Madhuloka Liquor Boutique Pvt Ltd,12.9119,77.6817,8,20
Seller_2,431TCRCC00653,814 - K.S.Lokesh Madhuloka Wines,12.9123,77.6431,8,20
Seller_2,431TCRKA60935,1920 - The Chairman Best Club,12.9125,77.5230,8,20
Seller_2,431TCRAA02634,11109 - Maruthi Enterprises,12.9127,77.5405,8,20
Seller_2,431TCRKA61290,13709 - Girish S,12.9135,77.5855,4,20
Seller_2,431TCRCC03705,41199 - K.Rakesh Kumar,12.9136,77.6067,8,20
Seller_2,431TCRBB03672,3464 - Smt.T.H.Bhagya,12.9137,77.6066,4,20
Seller_2,431TCRBB02644,41553 - Anasuyamma,12.9139,77.5601,1,20
Seller_2,431TCRPR62322,11804 - Kumar. B.J,12.9139,77.5675,4,20
Seller_2,431TCRAA03631,1095 - B.Narayanswamy,12.9139,77.6100,8,20
Seller_2,431TCRBB02765,2016 - E.N.Vishwanath,12.9139,77.6359,1,20
Seller_2,431TCRAA02764,9812 - Varalakshmi.B,12.9139,77.6359,2,20
Seller_2,431TCRAA02762,10601 - Saraswathi.M,12.9139,77.6359,8,20
Seller_2,431TCRBB02769,40719 - K.Chandrashekar,12.9139,77.6359,1,20
Seller_2,431TCRAA02760,40905 - A.Balaraju,12.9139,77.6359,2,20
Seller_2,431TCRKA61276,40776 - Goutham U. Nambison,12.9140,77.5997,1,20
Seller_2,431TCRCC00655,40596 - M.Venugopal Rao,12.9143,77.6382,8,20
Seller_2,431TCRAA02616,40590 - B. Sampath kumar,12.9148,77.5953,8,20
Seller_2,431TCRPR62221,1930 - Kempegowda Manjunatha Bar,12.9157,77.4796,2,20
Seller_2,431TCRPR62232,2084 - T.Jayaram,12.9162,77.4796,2,20
Seller_2,431TCRCC03716,778 - Shivalingegowda Shwetha Wines,12.9163,77.6155,1,20
Seller_2,431TCRPR62348,41587 - T.H.Shashikala,12.9164,77.5707,2,20
Seller_2,431TCRCC03713,679 - R.Umesh,12.9164,77.6114,8,20
Seller_2,431TCRKA60963,13451 - S.S.M Hotels & Projects Pvt Ltd,12.9165,77.6039,1,20
Seller_2,431TCRAA03641,11595 - P. Vijayababu,12.9165,77.6114,8,20
Seller_2,431TCRKA60918,11814 - Aditya Birla Retail Ltd,12.9165,77.6698,8,20
Seller_2,431TCRKA61313,10696 - Reliance Retail Limited,12.9166,77.6047,8,20
Seller_2,431TCRCC00652,40561 - K.S.Lokesh:Director,12.9169,77.6290,8,20
Seller_3,431TCOPR01660,12283 - N.K.Mukundan,12.9169,77.6293,2,20
Seller_3,431TCOPR01725,9849 - Aranya Multi Cuisine Restaurant,12.9170,77.6293,8,20
Seller_3,431TCRPR62325,12116 - The Director M/S.Sri Athithi Hotels Pvt Ltd,12.9185,77.4829,1,20
Seller_3,431TCRBB02751,836 - P. Ramachadnra Vani Wines,12.9186,77.5837,1,20
Seller_3,431TCRAA02758,1165 - V.K.Manjunath Madhusri Wines,12.9186,77.5837,4,20
Seller_3,431TCRBB02735,1230 - B.Subbareddy Venkateshwara Wines,12.9186,77.5837,1,20
Seller_3,431TCRAA02741,10246 - R.Sureshkumar,12.9186,77.5837,8,20
Seller_3,431TCRPR62314,3508 - S.Narayan,12.9188,77.4841,2,20
Seller_3,431TCRBB02626,984 - H.Chandrashekar Vinayaka Wines,12.9188,77.5930,1,20
Seller_3,431TCOPR01718,40918 - Taranjit Kaur Sabharwal,12.9188,77.6211,1,20
Seller_3,431TCOPR01699,41076 - G.Puttaswamy,12.9188,77.6211,8,20
Seller_3,431TCOPR01719,41229 - Wilson Garden Club,12.9188,77.6211,1,20
Seller_3,431TCRPR62230,2054 - J.Ani Nirmala,12.9192,77.5136,2,20
Seller_3,431TCRPR63924,41476 - N.Girish,12.9192,77.6684,8,20
Seller_3,431TCOPR01720,41503 - K.Kanthraj,12.9196,77.6342,8,20
Seller_3,431TCOPR01559,916 - Nagaraj Gangothri Bar,12.9197,77.6128,8,20
Seller_3,431TCRCC00671,40723 - Raghuram Reddy,12.9199,77.6493,8,20
Seller_3,431TCRBB00603,40667 - Managing DirectorDrops Total Spirits Pvt. Ltd,12.9202,77.6665,8,20
Seller_3,431TCRPR62228,2019 - H. Gopalraj,12.9205,77.5143,2,20
Seller_3,431TCRKA60946,3216 - Secretary J P Nagar Institute,12.9205,77.5738,1,20
Seller_3,431TCRPR62276,12314 - Smt.Munirathna,12.9206,77.5142,1,20
Seller_3,431TCOPR01672,12009 - J.Nanda Kishore Venkateshwara Bar & Restaurant,12.9206,77.6493,1,20
Seller_3,431TCRKA60953,1231 - HonBle Secretary Jayanagar Association,12.9207,77.5743,1,20
Seller_3,431TCRBB00600,12307 - A.Krishna Murthy,12.9209,77.6650,1,20
Seller_3,431TCOPR01668,1068 - R.Narasimha Reddy Manjunatha Bar,12.9213,77.6496,1,20
Seller_3,431TCRBB02633,909 - Mangala Manjunatha Wines,12.9215,77.5434,2,20
Seller_3,431TCOPR01557,763 - H.S.Umadevi,12.9216,77.6111,2,20
Seller_3,431TCOPR01554,40885 - R.Srinivasa Babu,12.9216,77.6111,2,20
Seller_3,431TCRPR62297,706 - T. Laxmidevamma Kadambha Bar,12.9217,77.5700,1,20
Seller_3,431TCRKA60919,12382 - M/S.Spencer'S Retail Ltd,12.9217,77.6208,8,20
Seller_3,431TCRPR62303,1046 - M.Krishnappa Alankar Bar,12.9218,77.5701,1,20
Seller_3,431TCRPR62304,1077 - Kanthamma Amrut Bar,12.9218,77.5701,8,20
Seller_3,431TCRPR62327,12278 - A.H.Shivakanth,12.9218,77.5701,8,20
Seller_3,431TCRPR62416,3073 - K.Srinivasaiah Tirumala Bar,12.9223,77.4845,1,20
Seller_3,431TCRBB00599,12165 - K.S.Lokesh & G.K.Asha(Partnership),12.9224,77.6683,8,20
Seller_3,431TCRPR62407,2932 - A.B.Prakash Tirumala Bar,12.9225,77.4845,1,20
Seller_3,431TCRAA02755,10849 - Konfidence Retails Pvt Ltd,12.9226,77.5970,8,20
Seller_3,431TCRBB02643,890 - B.Satyavathi Deepak Wines,12.9229,77.5490,1,20
Seller_3,431TCRBB00621,929 - V.Rajendraprasad Manjunatha Wines,12.9231,77.6145,8,20
Seller_3,431TCRKA60943,1008 - Secrtary Konanakunte Cultural Assn.,12.9233,77.4720,1,20
Seller_3,431TCRBB00624,924 - H.N.Doddegowda Mg.Partner Maruti E/P,12.9234,77.6148,2,20
Seller_3,431TCRKA60959,902 - Secretary Banashankari Institute,12.9235,77.5568,1,20
Seller_3,431TCOPR01706,806 - H.M.Chandru Akshay Bar,12.9237,77.6343,8,20
Seller_3,431TCOPR01552,3231 - R P R Enterprises,12.9239,77.6185,1,20
Seller_3,431TCRPR63964,41187 - Smt.B.E.Varsha,12.9240,77.6544,8,20
Seller_3,431TCRPR62306,1228 - V. Nagaraju Laxmi Bar,12.9244,77.5653,8,20
Seller_3,431TCRPR62318,10375 - S.Indudhar,12.9246,77.5651,8,20
Seller_3,431TCRPR62373,13331 - D.Vijayakumar,12.9246,77.5652,8,20
Seller_3,431TCRPR62250,3023 - Gayathri Darshan Bar,12.9249,77.4853,1,20
Seller_3,431TCRPR62224,1959 - The Chairman M/S. Shakthi Hills Resorts,12.9250,77.4853,4,20
Seller_3,431TCRPR62227,2000 - S.A.Chandrashekar,12.9250,77.4853,1,20
Seller_3,431TCRPR62278,12566 - A.Venugopal,12.9250,77.4853,1,20
Seller_3,431TCRPR62233,2087 - T.Govinda,12.9250,77.5181,2,20
Seller_3,431TCOPR01673,1201 - H V Venkatesh Renukayellammadevi Bar,12.9250,77.6379,2,20
Seller_3,431TCRPR62257,3408 - S.H.Vijayalakshmi,12.9251,77.4852,2,20
Seller_3,431TCRPR62267,10189 - Hanumakka,12.9251,77.4852,1,20
Seller_3,431TCRAA02759,12230 - T.G.Divakar,12.9251,77.5862,1,20
Seller_3,431TCRCC00638,737 - Dorai Best Wines,12.9254,77.6336,1,20
Seller_3,431TCRCC00650,3279 - Raghuram Reddy,12.9254,77.6336,8,20
Seller_3,431TCRKA61279,12159 - M/S.Sayaji Hotels Ltd,12.9254,77.6370,1,20
Seller_3,431TCRCC00651,1001 - Susheelamma Sujatha Wines,12.9254,77.6375,1,20
Seller_3,431TCRPR63975,40698 - G.S. Revanna,12.9254,77.7293,1,20
Seller_3,431TCOPR01710,949 - Managing Partner M.M.Enterprises,12.9255,77.6336,1,20
Seller_3,431TCRPR63959,41168 - S.N.Subbareddy,12.9255,77.6762,8,20
Seller_3,431TCRPR63971,1147 - G.K.Manjunatha Vinayaka Bar,12.9255,77.7368,1,20
